type	value	2	3	4	5	6	7	8	9	10	11
hard	21	S	S	S	S	S	S	S	S	S	S
hard	20	S	S	S	S	S	S	S	S	S	S
hard	19	S	S	S	S	S	S	S	S	S	S
hard	18	S	S	S	S	S	S	S	S	S	S
hard	17	S	S	S	S	S	S	S	S	S	S
hard	16	S	S	S	S	S	H	H	H	H	H
hard	15	S	S	S	S	S	H	H	H	H	H
hard	14	S	S	S	S	S	H	H	H	H	H
hard	13	S	S	S	S	H	H	H	H	H	H
hard	12	H	H	S	S	S	H	H	H	H	H
hard	11	Dh	Dh	Dh	Dh	Dh	Dh	Dh	Dh	Dh	Dh
hard	10	Dh	Dh	Dh	Dh	Dh	Dh	Dh	Dh	H	H
hard	9	H	Dh	Dh	Dh	Dh	H	H	H	H	H
hard	8	H	H	H	H	H	H	H	H	H	H
hard	7	H	H	H	H	H	H	H	H	H	H
hard	6	H	H	H	H	H	H	H	H	H	H
hard	5	H	H	H	H	H	H	H	H	H	H
soft	20	S	S	S	S	S	S	S	S	S	S
soft	19	S	S	S	S	Ds	S	S	S	S	S
soft	18	Ds	Ds	Ds	Ds	Ds	S	S	H	H	H
soft	17	H	Dh	Dh	Dh	Dh	H	H	H	H	H
soft	16	H	H	Dh	Dh	Dh	H	H	H	H	H
soft	15	H	H	Dh	Dh	Dh	H	H	H	H	H
soft	14	H	H	H	Dh	Dh	H	H	H	H	H
soft	13	H	H	H	Dh	Dh	H	H	H	H	H
pair	21	SP	SP	SP	SP	SP	SP	SP	SP	SP	SP
pair	20	S	S	S	S	S	S	S	S	S	S
pair	18	SP	SP	SP	SP	SP	S	SP	SP	S	S
pair	16	SP	SP	SP	SP	SP	SP	SP	SP	SP	SP
pair	14	SP	SP	SP	SP	SP	SP	H	H	H	H
pair	12	SP	SP	SP	SP	SP	H	H	H	H	H
pair	10	Dh	Dh	Dh	Dh	Dh	Dh	Dh	Dh	H	H
pair	8	H	H	H	SP	SP	H	H	H	H	H
pair	6	SP	SP	SP	SP	SP	SP	H	H	H	H
pair	4	SP	SP	SP	SP	SP	SP	H	H	H	H
pair	2	SP	SP	SP	SP	SP	SP	SP	SP	SP	SP
